==31375== NVPROF is profiling process 31375, command: ./2
==31375== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==31375== Profiling application: ./2
==31375== Profiling result:
==31375== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg"
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"tex0_cache_sector_queries",1866656,1866656,1866656
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"tex1_cache_sector_queries",1866713,1866713,1866713
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"tex2_cache_sector_queries",1866712,1866712,1866712
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"tex3_cache_sector_queries",1866684,1866684,1866684
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"tex0_cache_sector_misses",1663751,1663751,1663751
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"tex1_cache_sector_misses",1663631,1663631,1663631
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"tex2_cache_sector_misses",1664009,1664009,1664009
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"tex3_cache_sector_misses",1663496,1663496,1663496
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"fb_subp0_read_sectors",4335485,4335485,4335485
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"fb_subp1_read_sectors",4335199,4335199,4335199
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"fb_subp0_write_sectors",60296,60296,60296
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"fb_subp1_write_sectors",60334,60334,60334
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp0_write_sector_misses",24579,24579,24579
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp1_write_sector_misses",24578,24578,24578
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp2_write_sector_misses",24580,24580,24580
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp3_write_sector_misses",24578,24578,24578
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp0_read_sector_misses",1203949,1203949,1203949
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp1_read_sector_misses",1200682,1200682,1200682
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp2_read_sector_misses",1202122,1202122,1202122
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp3_read_sector_misses",1202596,1202596,1202596
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp0_write_l1_sector_queries",24576,24576,24576
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp1_write_l1_sector_queries",24576,24576,24576
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp2_write_l1_sector_queries",24576,24576,24576
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp3_write_l1_sector_queries",24576,24576,24576
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp0_read_l1_sector_queries",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp1_read_l1_sector_queries",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp2_read_l1_sector_queries",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp3_read_l1_sector_queries",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp0_read_l1_hit_sectors",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp1_read_l1_hit_sectors",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp2_read_l1_hit_sectors",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp3_read_l1_hit_sectors",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp0_read_tex_sector_queries",1663800,1663800,1663800
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp1_read_tex_sector_queries",1662948,1662948,1662948
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp2_read_tex_sector_queries",1664399,1664399,1664399
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp3_read_tex_sector_queries",1663615,1663615,1663615
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp0_read_tex_hit_sectors",459616,459616,459616
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp1_read_tex_hit_sectors",460757,460757,460757
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp2_read_tex_hit_sectors",462115,462115,462115
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp3_read_tex_hit_sectors",461694,461694,461694
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"rocache_subp0_gld_thread_count_32b",1474560,1474560,1474560
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"rocache_subp1_gld_thread_count_32b",1474560,1474560,1474560
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"rocache_subp2_gld_thread_count_32b",1474560,1474560,1474560
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"rocache_subp3_gld_thread_count_32b",1474560,1474560,1474560
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"rocache_subp0_gld_thread_count_64b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"rocache_subp1_gld_thread_count_64b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"rocache_subp2_gld_thread_count_64b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"rocache_subp3_gld_thread_count_64b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"rocache_subp0_gld_thread_count_128b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"rocache_subp1_gld_thread_count_128b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"rocache_subp2_gld_thread_count_128b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"rocache_subp3_gld_thread_count_128b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"rocache_subp0_gld_warp_count_32b",46080,46080,46080
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"rocache_subp1_gld_warp_count_32b",54648,54648,54648
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"rocache_subp2_gld_warp_count_32b",46080,46080,46080
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"rocache_subp3_gld_warp_count_32b",47452,47452,47452
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"rocache_subp0_gld_warp_count_64b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"rocache_subp1_gld_warp_count_64b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"rocache_subp2_gld_warp_count_64b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"rocache_subp3_gld_warp_count_64b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"rocache_subp0_gld_warp_count_128b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"rocache_subp1_gld_warp_count_128b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"rocache_subp2_gld_warp_count_128b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"rocache_subp3_gld_warp_count_128b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp0_read_sysmem_sector_queries",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp1_read_sysmem_sector_queries",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp2_read_sysmem_sector_queries",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp3_read_sysmem_sector_queries",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp0_write_sysmem_sector_queries",1,1,1
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp1_write_sysmem_sector_queries",5,5,5
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp2_write_sysmem_sector_queries",4,4,4
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp3_write_sysmem_sector_queries",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp0_total_read_sector_queries",1663961,1663961,1663961
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp1_total_read_sector_queries",1663266,1663266,1663266
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp2_total_read_sector_queries",1664376,1664376,1664376
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp3_total_read_sector_queries",1663636,1663636,1663636
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp0_total_write_sector_queries",24583,24583,24583
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp1_total_write_sector_queries",24578,24578,24578
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp2_total_write_sector_queries",24580,24580,24580
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"l2_subp3_total_write_sector_queries",24578,24578,24578
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"elapsed_cycles_sm",16947902,16947902,16947902
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"gld_inst_8bit",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"gld_inst_16bit",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"gld_inst_32bit",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"gld_inst_64bit",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"gld_inst_128bit",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"gst_inst_8bit",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"gst_inst_16bit",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int const *, float, float, float, int)",1,"gst_inst_32bit",0,0,0
