==31417== NVPROF is profiling process 31417, command: ./6_overhead
==31417== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==31417== Profiling application: ./6_overhead
==31417== Profiling result:
==31417== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg"
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"tex0_cache_sector_queries",1866666,1866666,1866666
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"tex1_cache_sector_queries",1866725,1866725,1866725
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"tex2_cache_sector_queries",1866675,1866675,1866675
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"tex3_cache_sector_queries",1866724,1866724,1866724
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"tex0_cache_sector_misses",1663801,1663801,1663801
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"tex1_cache_sector_misses",1663937,1663937,1663937
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"tex2_cache_sector_misses",1664066,1664066,1664066
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"tex3_cache_sector_misses",1663878,1663878,1663878
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"fb_subp0_read_sectors",4346367,4346367,4346367
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"fb_subp1_read_sectors",4347931,4347931,4347931
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"fb_subp0_write_sectors",60394,60394,60394
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"fb_subp1_write_sectors",60400,60400,60400
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp0_write_sector_misses",24579,24579,24579
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp1_write_sector_misses",24588,24588,24588
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp2_write_sector_misses",24578,24578,24578
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp3_write_sector_misses",24579,24579,24579
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp0_read_sector_misses",1203829,1203829,1203829
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp1_read_sector_misses",1203569,1203569,1203569
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp2_read_sector_misses",1203553,1203553,1203553
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp3_read_sector_misses",1200340,1200340,1200340
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp0_write_l1_sector_queries",24576,24576,24576
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp1_write_l1_sector_queries",24576,24576,24576
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp2_write_l1_sector_queries",24576,24576,24576
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp3_write_l1_sector_queries",24576,24576,24576
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp0_read_l1_sector_queries",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp1_read_l1_sector_queries",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp2_read_l1_sector_queries",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp3_read_l1_sector_queries",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp0_read_l1_hit_sectors",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp1_read_l1_hit_sectors",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp2_read_l1_hit_sectors",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp3_read_l1_hit_sectors",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp0_read_tex_sector_queries",1663863,1663863,1663863
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp1_read_tex_sector_queries",1664880,1664880,1664880
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp2_read_tex_sector_queries",1665493,1665493,1665493
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp3_read_tex_sector_queries",1662364,1662364,1662364
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp0_read_tex_hit_sectors",460288,460288,460288
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp1_read_tex_hit_sectors",461440,461440,461440
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp2_read_tex_hit_sectors",460176,460176,460176
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp3_read_tex_hit_sectors",460852,460852,460852
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"rocache_subp0_gld_thread_count_32b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"rocache_subp1_gld_thread_count_32b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"rocache_subp2_gld_thread_count_32b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"rocache_subp3_gld_thread_count_32b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"rocache_subp0_gld_thread_count_64b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"rocache_subp1_gld_thread_count_64b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"rocache_subp2_gld_thread_count_64b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"rocache_subp3_gld_thread_count_64b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"rocache_subp0_gld_thread_count_128b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"rocache_subp1_gld_thread_count_128b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"rocache_subp2_gld_thread_count_128b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"rocache_subp3_gld_thread_count_128b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"rocache_subp0_gld_warp_count_32b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"rocache_subp1_gld_warp_count_32b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"rocache_subp2_gld_warp_count_32b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"rocache_subp3_gld_warp_count_32b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"rocache_subp0_gld_warp_count_64b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"rocache_subp1_gld_warp_count_64b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"rocache_subp2_gld_warp_count_64b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"rocache_subp3_gld_warp_count_64b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"rocache_subp0_gld_warp_count_128b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"rocache_subp1_gld_warp_count_128b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"rocache_subp2_gld_warp_count_128b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"rocache_subp3_gld_warp_count_128b",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp0_read_sysmem_sector_queries",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp1_read_sysmem_sector_queries",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp2_read_sysmem_sector_queries",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp3_read_sysmem_sector_queries",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp0_write_sysmem_sector_queries",1,1,1
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp1_write_sysmem_sector_queries",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp2_write_sysmem_sector_queries",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp3_write_sysmem_sector_queries",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp0_total_read_sector_queries",1663653,1663653,1663653
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp1_total_read_sector_queries",1664586,1664586,1664586
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp2_total_read_sector_queries",1665384,1665384,1665384
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp3_total_read_sector_queries",1662667,1662667,1662667
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp0_total_write_sector_queries",24580,24580,24580
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp1_total_write_sector_queries",24578,24578,24578
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp2_total_write_sector_queries",24579,24579,24579
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l2_subp3_total_write_sector_queries",24594,24594,24594
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"elapsed_cycles_sm",17106341,17106341,17106341
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"gld_inst_8bit",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"gld_inst_16bit",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"gld_inst_32bit",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"gld_inst_64bit",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"gld_inst_128bit",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"gst_inst_8bit",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"gst_inst_16bit",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"gst_inst_32bit",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"gst_inst_64bit",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"gst_inst_128bit",196608,196608,196608
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"rocache_gld_inst_8bit",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"rocache_gld_inst_16bit",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"rocache_gld_inst_32bit",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"rocache_gld_inst_64bit",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"rocache_gld_inst_128bit",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"prof_trigger_00",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"prof_trigger_01",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"prof_trigger_02",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"prof_trigger_03",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"prof_trigger_04",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"prof_trigger_05",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"prof_trigger_06",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"prof_trigger_07",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"atom_cas_count",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"warps_launched",6144,6144,6144
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"threads_launched",196608,196608,196608
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"inst_executed",7185277,7185277,7185277
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"inst_issued1",4853498,4853498,4853498
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"inst_issued2",1184141,1184141,1184141
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"thread_inst_executed",168126488,168126488,168126488
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"shared_load",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"shared_store",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"local_load",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"local_store",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"gld_request",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"gst_request",6144,6144,6144
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"active_cycles",16882524,16882524,16882524
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"active_warps",1033812906,1033812906,1033812906
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"sm_cta_launched",768,768,768
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"not_predicated_off_thread_inst_executed",167380056,167380056,167380056
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l1_local_load_hit",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l1_local_load_miss",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l1_local_store_hit",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l1_local_store_miss",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l1_global_load_hit",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l1_global_load_miss",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"uncached_global_load_transaction",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"global_store_transaction",24576,24576,24576
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"shared_load_replay",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"shared_store_replay",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"global_ld_mem_divergence_replays",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"global_st_mem_divergence_replays",18432,18432,18432
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"local_load_transactions",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"local_store_transactions",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l1_shared_load_transactions",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l1_shared_store_transactions",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"__l1_global_load_transactions",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"__l1_global_store_transactions",24576,24576,24576
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"atom_count",0,0,0
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"gred_count",0,0,0

==31417== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l1_cache_global_hit_rate","L1 Global Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"l1_cache_local_hit_rate","L1 Local Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"sm_efficiency","Multiprocessor Activity",98.055680%,98.055680%,98.055680%
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"ipc","Executed IPC",0.428365,0.428365,0.428365
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"achieved_occupancy","Achieved Occupancy",0.961992,0.961992,0.961992
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"gld_requested_throughput","Requested Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"gst_requested_throughput","Requested Global Store Throughput",1.313531GB/s,1.313531GB/s,1.313531GB/s
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"sm_efficiency_instance","Multiprocessor Activity",98.055680%,98.055680%,98.055680%
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"ipc_instance","Executed IPC",0.428365,0.428365,0.428365
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"inst_replay_overhead","Instruction Replay Overhead",0.005080,0.005080,0.005080
"Tesla K80 (0)","md_kernel(float4*, float4*, int, int*, float, float, float, int)",1,"shared_replay_overhead","Shared Memory Replay Overhead",0.000000,0.000000,0.000000
