==31429== NVPROF is profiling process 31429, command: ./md
==31429== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==31429== Profiling application: ./md
==31429== Profiling result:
==31429== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg"
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"tex0_cache_sector_queries",24576,24576,24576
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"tex1_cache_sector_queries",24576,24576,24576
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"tex2_cache_sector_queries",24576,24576,24576
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"tex3_cache_sector_queries",24576,24576,24576
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"tex0_cache_sector_misses",12288,12288,12288
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"tex1_cache_sector_misses",12288,12288,12288
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"tex2_cache_sector_misses",12288,12288,12288
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"tex3_cache_sector_misses",12288,12288,12288
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"fb_subp0_read_sectors",297458,297458,297458
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"fb_subp1_read_sectors",295212,295212,295212
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"fb_subp0_write_sectors",45935,45935,45935
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"fb_subp1_write_sectors",45956,45956,45956
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp0_write_sector_misses",18717,18717,18717
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp1_write_sector_misses",18718,18718,18718
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp2_write_sector_misses",19174,19174,19174
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp3_write_sector_misses",18734,18734,18734
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp0_read_sector_misses",84721,84721,84721
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp1_read_sector_misses",84953,84953,84953
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp2_read_sector_misses",84726,84726,84726
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp3_read_sector_misses",83902,83902,83902
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp0_write_l1_sector_queries",55296,55296,55296
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp1_write_l1_sector_queries",55296,55296,55296
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp2_write_l1_sector_queries",55296,55296,55296
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp3_write_l1_sector_queries",55296,55296,55296
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp0_read_l1_sector_queries",348726,348726,348726
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp1_read_l1_sector_queries",347656,347656,347656
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp2_read_l1_sector_queries",345110,345110,345110
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp3_read_l1_sector_queries",347195,347195,347195
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp0_read_l1_hit_sectors",276471,276471,276471
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp1_read_l1_hit_sectors",275884,275884,275884
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp2_read_l1_hit_sectors",272934,272934,272934
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp3_read_l1_hit_sectors",275235,275235,275235
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp0_read_tex_sector_queries",12288,12288,12288
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp1_read_tex_sector_queries",12288,12288,12288
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp2_read_tex_sector_queries",12288,12288,12288
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp3_read_tex_sector_queries",12288,12288,12288
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp0_read_tex_hit_sectors",0,0,0
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp1_read_tex_hit_sectors",0,0,0
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp2_read_tex_hit_sectors",0,0,0
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp3_read_tex_hit_sectors",0,0,0
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"rocache_subp0_gld_thread_count_32b",98304,98304,98304
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"rocache_subp1_gld_thread_count_32b",98304,98304,98304
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"rocache_subp2_gld_thread_count_32b",98304,98304,98304
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"rocache_subp3_gld_thread_count_32b",98304,98304,98304
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"rocache_subp0_gld_thread_count_64b",0,0,0
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"rocache_subp1_gld_thread_count_64b",0,0,0
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"rocache_subp2_gld_thread_count_64b",0,0,0
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"rocache_subp3_gld_thread_count_64b",0,0,0
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"rocache_subp0_gld_thread_count_128b",0,0,0
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"rocache_subp1_gld_thread_count_128b",0,0,0
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"rocache_subp2_gld_thread_count_128b",0,0,0
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"rocache_subp3_gld_thread_count_128b",0,0,0
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"rocache_subp0_gld_warp_count_32b",3072,3072,3072
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"rocache_subp1_gld_warp_count_32b",4430,4430,4430
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"rocache_subp2_gld_warp_count_32b",3072,3072,3072
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"rocache_subp3_gld_warp_count_32b",3072,3072,3072
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"rocache_subp0_gld_warp_count_64b",0,0,0
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"rocache_subp1_gld_warp_count_64b",0,0,0
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"rocache_subp2_gld_warp_count_64b",0,0,0
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"rocache_subp3_gld_warp_count_64b",0,0,0
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"rocache_subp0_gld_warp_count_128b",0,0,0
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"rocache_subp1_gld_warp_count_128b",0,0,0
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"rocache_subp2_gld_warp_count_128b",0,0,0
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"rocache_subp3_gld_warp_count_128b",0,0,0
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp0_read_sysmem_sector_queries",0,0,0
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp1_read_sysmem_sector_queries",0,0,0
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp2_read_sysmem_sector_queries",0,0,0
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp3_read_sysmem_sector_queries",0,0,0
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp0_write_sysmem_sector_queries",4,4,4
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp1_write_sysmem_sector_queries",0,0,0
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp2_write_sysmem_sector_queries",0,0,0
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp3_write_sysmem_sector_queries",0,0,0
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp0_total_read_sector_queries",361059,361059,361059
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp1_total_read_sector_queries",360027,360027,360027
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp2_total_read_sector_queries",357502,357502,357502
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp3_total_read_sector_queries",359568,359568,359568
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp0_total_write_sector_queries",55626,55626,55626
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp1_total_write_sector_queries",55640,55640,55640
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp2_total_write_sector_queries",55636,55636,55636
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"l2_subp3_total_write_sector_queries",55830,55830,55830
"Tesla K80 (0)","md_kernel(float3*, float3*, int, int const *, float, float, float, int)",1,"elapsed_cycles_sm",2797033,2797033,2797033
