==2326== NVPROF is profiling process 2326, command: ./4
==2326== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==2326== Profiling application: ./4
==2326== Profiling result:
==2326== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg"
"Tesla K80 (0)","mm_kernel(float const *, float*, int, int)",1,"tex0_cache_sector_queries",1966080,1966080,1966080
"Tesla K80 (0)","mm_kernel(float const *, float*, int, int)",1,"tex1_cache_sector_queries",1966080,1966080,1966080
"Tesla K80 (0)","mm_kernel(float const *, float*, int, int)",1,"tex2_cache_sector_queries",1966080,1966080,1966080
"Tesla K80 (0)","mm_kernel(float const *, float*, int, int)",1,"tex3_cache_sector_queries",1966080,1966080,1966080
"Tesla K80 (0)","mm_kernel(float const *, float*, int, int)",1,"tex0_cache_sector_misses",981024,981024,981024
"Tesla K80 (0)","mm_kernel(float const *, float*, int, int)",1,"tex1_cache_sector_misses",980800,980800,980800
"Tesla K80 (0)","mm_kernel(float const *, float*, int, int)",1,"tex2_cache_sector_misses",981068,981068,981068
"Tesla K80 (0)","mm_kernel(float const *, float*, int, int)",1,"tex3_cache_sector_misses",980832,980832,980832
"Tesla K80 (0)","mm_kernel(float const *, float*, int, int)",1,"fb_subp0_read_sectors",1477474,1477474,1477474
"Tesla K80 (0)","mm_kernel(float const *, float*, int, int)",1,"fb_subp1_read_sectors",1477739,1477739,1477739
"Tesla K80 (0)","mm_kernel(float const *, float*, int, int)",1,"fb_subp0_write_sectors",83816,83816,83816
"Tesla K80 (0)","mm_kernel(float const *, float*, int, int)",1,"fb_subp1_write_sectors",83805,83805,83805
"Tesla K80 (0)","mm_kernel(float const *, float*, int, int)",1,"l2_subp0_write_sector_misses",30721,30721,30721
"Tesla K80 (0)","mm_kernel(float const *, float*, int, int)",1,"l2_subp1_write_sector_misses",30723,30723,30723
"Tesla K80 (0)","mm_kernel(float const *, float*, int, int)",1,"l2_subp2_write_sector_misses",30721,30721,30721
"Tesla K80 (0)","mm_kernel(float const *, float*, int, int)",1,"l2_subp3_write_sector_misses",30726,30726,30726
"Tesla K80 (0)","mm_kernel(float const *, float*, int, int)",1,"l2_subp0_read_sector_misses",493101,493101,493101
"Tesla K80 (0)","mm_kernel(float const *, float*, int, int)",1,"l2_subp1_read_sector_misses",493167,493167,493167
"Tesla K80 (0)","mm_kernel(float const *, float*, int, int)",1,"l2_subp2_read_sector_misses",493138,493138,493138
"Tesla K80 (0)","mm_kernel(float const *, float*, int, int)",1,"l2_subp3_read_sector_misses",493170,493170,493170
"Tesla K80 (0)","mm_kernel(float const *, float*, int, int)",1,"l2_subp0_write_l1_sector_queries",30720,30720,30720
"Tesla K80 (0)","mm_kernel(float const *, float*, int, int)",1,"l2_subp1_write_l1_sector_queries",30720,30720,30720
"Tesla K80 (0)","mm_kernel(float const *, float*, int, int)",1,"l2_subp2_write_l1_sector_queries",30720,30720,30720
"Tesla K80 (0)","mm_kernel(float const *, float*, int, int)",1,"l2_subp3_write_l1_sector_queries",30720,30720,30720
"Tesla K80 (0)","mm_kernel(float const *, float*, int, int)",1,"l2_subp0_read_l1_sector_queries",0,0,0
"Tesla K80 (0)","mm_kernel(float const *, float*, int, int)",1,"l2_subp1_read_l1_sector_queries",0,0,0
"Tesla K80 (0)","mm_kernel(float const *, float*, int, int)",1,"l2_subp2_read_l1_sector_queries",0,0,0
"Tesla K80 (0)","mm_kernel(float const *, float*, int, int)",1,"l2_subp3_read_l1_sector_queries",0,0,0
