==12628== NVPROF is profiling process 12628, command: ./4
==12628== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==12628== Profiling application: ./4
==12628== Profiling result:
==12628== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg"
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float*, float const *, float*, float*, float*, float*, int*)",1,"tex0_cache_sector_queries",404424,404424,404424
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float*, float const *, float*, float*, float*, float*, int*)",1,"tex1_cache_sector_queries",404412,404412,404412
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float*, float const *, float*, float*, float*, float*, int*)",1,"tex2_cache_sector_queries",404468,404468,404468
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float*, float const *, float*, float*, float*, float*, int*)",1,"tex3_cache_sector_queries",404476,404476,404476
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float*, float const *, float*, float*, float*, float*, int*)",1,"tex0_cache_sector_misses",385598,385598,385598
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float*, float const *, float*, float*, float*, float*, int*)",1,"tex1_cache_sector_misses",385505,385505,385505
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float*, float const *, float*, float*, float*, float*, int*)",1,"tex2_cache_sector_misses",384779,384779,384779
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float*, float const *, float*, float*, float*, float*, int*)",1,"tex3_cache_sector_misses",385435,385435,385435
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float*, float const *, float*, float*, float*, float*, int*)",1,"fb_subp0_read_sectors",130421,130421,130421
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float*, float const *, float*, float*, float*, float*, int*)",1,"fb_subp1_read_sectors",130700,130700,130700
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float*, float const *, float*, float*, float*, float*, int*)",1,"fb_subp0_write_sectors",19127,19127,19127
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float*, float const *, float*, float*, float*, float*, int*)",1,"fb_subp1_write_sectors",19797,19797,19797
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float*, float const *, float*, float*, float*, float*, int*)",1,"l2_subp0_write_sector_misses",7683,7683,7683
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float*, float const *, float*, float*, float*, float*, int*)",1,"l2_subp1_write_sector_misses",7684,7684,7684
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float*, float const *, float*, float*, float*, float*, int*)",1,"l2_subp2_write_sector_misses",7680,7680,7680
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float*, float const *, float*, float*, float*, float*, int*)",1,"l2_subp3_write_sector_misses",7682,7682,7682
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float*, float const *, float*, float*, float*, float*, int*)",1,"l2_subp0_read_sector_misses",51568,51568,51568
