==12644== NVPROF is profiling process 12644, command: ./6_overhead
==12644== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==12644== Profiling application: ./6_overhead
==12644== Profiling result:
==12644== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg"
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"tex0_cache_sector_queries",603849,603849,603849
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"tex1_cache_sector_queries",603914,603914,603914
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"tex2_cache_sector_queries",603844,603844,603844
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"tex3_cache_sector_queries",603924,603924,603924
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"tex0_cache_sector_misses",526941,526941,526941
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"tex1_cache_sector_misses",527913,527913,527913
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"tex2_cache_sector_misses",527669,527669,527669
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"tex3_cache_sector_misses",527181,527181,527181
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"fb_subp0_read_sectors",138863,138863,138863
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"fb_subp1_read_sectors",138949,138949,138949
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"fb_subp0_write_sectors",19136,19136,19136
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"fb_subp1_write_sectors",19121,19121,19121
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp0_write_sector_misses",7680,7680,7680
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp1_write_sector_misses",7684,7684,7684
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp2_write_sector_misses",7682,7682,7682
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp3_write_sector_misses",7685,7685,7685
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp0_read_sector_misses",52376,52376,52376
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp1_read_sector_misses",52458,52458,52458
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp2_read_sector_misses",52358,52358,52358
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp3_read_sector_misses",52454,52454,52454
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp0_write_l1_sector_queries",7680,7680,7680
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp1_write_l1_sector_queries",7680,7680,7680
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp2_write_l1_sector_queries",7680,7680,7680
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp3_write_l1_sector_queries",7680,7680,7680
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp0_read_l1_sector_queries",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp1_read_l1_sector_queries",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp2_read_l1_sector_queries",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp3_read_l1_sector_queries",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp0_read_l1_hit_sectors",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp1_read_l1_hit_sectors",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp2_read_l1_hit_sectors",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp3_read_l1_hit_sectors",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp0_read_tex_sector_queries",527374,527374,527374
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp1_read_tex_sector_queries",527908,527908,527908
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp2_read_tex_sector_queries",526560,526560,526560
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp3_read_tex_sector_queries",527799,527799,527799
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp0_read_tex_hit_sectors",474972,474972,474972
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp1_read_tex_hit_sectors",475849,475849,475849
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp2_read_tex_hit_sectors",474705,474705,474705
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp3_read_tex_hit_sectors",475108,475108,475108
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"rocache_subp0_gld_thread_count_32b",110592,110592,110592
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"rocache_subp1_gld_thread_count_32b",110592,110592,110592
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"rocache_subp2_gld_thread_count_32b",110592,110592,110592
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"rocache_subp3_gld_thread_count_32b",110592,110592,110592
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"rocache_subp0_gld_thread_count_64b",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"rocache_subp1_gld_thread_count_64b",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"rocache_subp2_gld_thread_count_64b",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"rocache_subp3_gld_thread_count_64b",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"rocache_subp0_gld_thread_count_128b",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"rocache_subp1_gld_thread_count_128b",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"rocache_subp2_gld_thread_count_128b",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int, int, int, int, int, int, int)",1,"rocache_subp3_gld_thread_count_128b",0,0,0
