==12665== NVPROF is profiling process 12665, command: ./cfd_rule
==12665== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==12665== Profiling application: ./cfd_rule
==12665== Profiling result:
==12665== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg"
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"tex0_cache_sector_queries",2316837,2316837,2316837
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"tex1_cache_sector_queries",2316882,2316882,2316882
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"tex2_cache_sector_queries",2316657,2316657,2316657
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"tex3_cache_sector_queries",2316642,2316642,2316642
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"tex0_cache_sector_misses",2080728,2080728,2080728
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"tex1_cache_sector_misses",2079801,2079801,2079801
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"tex2_cache_sector_misses",2080801,2080801,2080801
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"tex3_cache_sector_misses",2080702,2080702,2080702
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"fb_subp0_read_sectors",5286199,5286199,5286199
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"fb_subp1_read_sectors",5238068,5238068,5238068
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"fb_subp0_write_sectors",75093,75093,75093
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"fb_subp1_write_sectors",75004,75004,75004
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"l2_subp0_write_sector_misses",30724,30724,30724
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"l2_subp1_write_sector_misses",30724,30724,30724
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"l2_subp2_write_sector_misses",30724,30724,30724
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"l2_subp3_write_sector_misses",30732,30732,30732
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"l2_subp0_read_sector_misses",1468457,1468457,1468457
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"l2_subp1_read_sector_misses",1454344,1454344,1454344
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"l2_subp2_read_sector_misses",1461866,1461866,1461866
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"l2_subp3_read_sector_misses",1477989,1477989,1477989
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"l2_subp0_write_l1_sector_queries",30720,30720,30720
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"l2_subp1_write_l1_sector_queries",30720,30720,30720
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"l2_subp2_write_l1_sector_queries",30720,30720,30720
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"l2_subp3_write_l1_sector_queries",30720,30720,30720
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"l2_subp0_read_l1_sector_queries",49152,49152,49152
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"l2_subp1_read_l1_sector_queries",49152,49152,49152
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"l2_subp2_read_l1_sector_queries",49152,49152,49152
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"l2_subp3_read_l1_sector_queries",49152,49152,49152
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"l2_subp0_read_l1_hit_sectors",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"l2_subp1_read_l1_hit_sectors",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"l2_subp2_read_l1_hit_sectors",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"l2_subp3_read_l1_hit_sectors",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"l2_subp0_read_tex_sector_queries",2080967,2080967,2080967
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"l2_subp1_read_tex_sector_queries",2080618,2080618,2080618
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"l2_subp2_read_tex_sector_queries",2081686,2081686,2081686
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"l2_subp3_read_tex_sector_queries",2080847,2080847,2080847
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"l2_subp0_read_tex_hit_sectors",663541,663541,663541
"Tesla K80 (0)","cfd_kernel(int, int*, float const *, float const *, float*, float*, float*, float*, float*, int*)",1,"l2_subp1_read_tex_hit_sectors",671489,671489,671489
