==14443== NVPROF is profiling process 14443, command: ./5
==14443== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==14443== Profiling application: ./5
==14443== Profiling result:
==14443== Event result:
Invocations                                Event Name         Min         Max         Avg
Device "Tesla K80 (0)"
	Kernel: convolutionColumnsKernel(float*, float*, int, int, int)
         17                 tex0_cache_sector_queries     1253376     1253376     1253376
         17                 tex1_cache_sector_queries     1253376     1253376     1253376
         17                 tex2_cache_sector_queries     1253376     1253376     1253376
         17                 tex3_cache_sector_queries     1253376     1253376     1253376
         17                  tex0_cache_sector_misses          39          39          39
         17                  tex1_cache_sector_misses          39          39          39
         17                  tex2_cache_sector_misses          39          39          39
         17                  tex3_cache_sector_misses          39          39          39
         17                     fb_subp0_read_sectors      968720      973430      970658
         17                     fb_subp1_read_sectors      968798      974538      971487
         17                    fb_subp0_write_sectors      775937      779681      778445
         17                    fb_subp1_write_sectors      775929      780109      778520
         17              l2_subp0_write_sector_misses      294912      294913      294912
         17              l2_subp1_write_sector_misses      294912      294913      294912
         17              l2_subp2_write_sector_misses      294913      294918      294916
         17              l2_subp3_write_sector_misses      294915      294918      294916
         17               l2_subp0_read_sector_misses      325393      327001      326107
         17               l2_subp1_read_sector_misses      325553      326682      326135
         17               l2_subp2_read_sector_misses      324996      326712      325977
         17               l2_subp3_read_sector_misses      325047      326654      325948
         17          l2_subp0_write_l1_sector_queries      294912      294912      294912
         17          l2_subp1_write_l1_sector_queries      294912      294912      294912
         17          l2_subp2_write_l1_sector_queries      294912      294912      294912
         17          l2_subp3_write_l1_sector_queries      294912      294912      294912
         17           l2_subp0_read_l1_sector_queries      367104      367104      367104
         17           l2_subp1_read_l1_sector_queries      367104      367104      367104
         17           l2_subp2_read_l1_sector_queries      367104      367104      367104
         17           l2_subp3_read_l1_sector_queries      367104      367104      367104
         17              l2_subp0_read_l1_hit_sectors       40124       42104       41101
         17              l2_subp1_read_l1_hit_sectors       39840       41952       41091
         17              l2_subp2_read_l1_hit_sectors       40408       41748       40980
         17              l2_subp3_read_l1_hit_sectors       40104       41840       40978
         17          l2_subp0_read_tex_sector_queries           0           0           0
         17          l2_subp1_read_tex_sector_queries         156         156         156
         17          l2_subp2_read_tex_sector_queries           0           0           0
         17          l2_subp3_read_tex_sector_queries           0           0           0
         17             l2_subp0_read_tex_hit_sectors           0           0           0
         17             l2_subp1_read_tex_hit_sectors         153         153         153
         17             l2_subp2_read_tex_hit_sectors           0           0           0
         17             l2_subp3_read_tex_hit_sectors           0           0           0
         17        rocache_subp0_gld_thread_count_32b           0           0           0
         17        rocache_subp1_gld_thread_count_32b           0           0           0
         17        rocache_subp2_gld_thread_count_32b           0           0           0
         17        rocache_subp3_gld_thread_count_32b           0           0           0
         17        rocache_subp0_gld_thread_count_64b           0           0           0
         17        rocache_subp1_gld_thread_count_64b           0           0           0
         17        rocache_subp2_gld_thread_count_64b           0           0           0
         17        rocache_subp3_gld_thread_count_64b           0           0           0
         17       rocache_subp0_gld_thread_count_128b           0           0           0
         17       rocache_subp1_gld_thread_count_128b           0           0           0
         17       rocache_subp2_gld_thread_count_128b           0           0           0
         17       rocache_subp3_gld_thread_count_128b           0           0           0
         17          rocache_subp0_gld_warp_count_32b           0           0           0
         17          rocache_subp1_gld_warp_count_32b           0           0           0
         17          rocache_subp2_gld_warp_count_32b           0           0           0
         17          rocache_subp3_gld_warp_count_32b           0           0           0
         17          rocache_subp0_gld_warp_count_64b           0           0           0
         17          rocache_subp1_gld_warp_count_64b           0           0           0
         17          rocache_subp2_gld_warp_count_64b           0           0           0
         17          rocache_subp3_gld_warp_count_64b           0           0           0
         17         rocache_subp0_gld_warp_count_128b           0           0           0
         17         rocache_subp1_gld_warp_count_128b           0           0           0
         17         rocache_subp2_gld_warp_count_128b           0           0           0
         17         rocache_subp3_gld_warp_count_128b           0           0           0
         17       l2_subp0_read_sysmem_sector_queries           0           0           0
         17       l2_subp1_read_sysmem_sector_queries           0           0           0
         17       l2_subp2_read_sysmem_sector_queries           0           0           0
         17       l2_subp3_read_sysmem_sector_queries           0           0           0
         17      l2_subp0_write_sysmem_sector_queries           0           4           1
         17      l2_subp1_write_sysmem_sector_queries           0           4           1
         17      l2_subp2_write_sysmem_sector_queries           0           5           2
         17      l2_subp3_write_sysmem_sector_queries           0           5           1
         17        l2_subp0_total_read_sector_queries      367149      367312      367198
         17        l2_subp1_total_read_sector_queries      367300      367767      367415
         17        l2_subp2_total_read_sector_queries      367104      367288      367156
         17        l2_subp3_total_read_sector_queries      367109      367313      367152
         17       l2_subp0_total_write_sector_queries      294912      294917      294913
         17       l2_subp1_total_write_sector_queries      294912      294918      294913
         17       l2_subp2_total_write_sector_queries      294915      294922      294917
         17       l2_subp3_total_write_sector_queries      294914      294921      294917
         17                         elapsed_cycles_sm     9805398     9828840     9814546
         17                             gld_inst_8bit           0           0           0
         17                            gld_inst_16bit           0           0           0
         17                            gld_inst_32bit    11747328    11747328    11747328
         17                            gld_inst_64bit           0           0           0
         17                           gld_inst_128bit           0           0           0
         17                             gst_inst_8bit           0           0           0
         17                            gst_inst_16bit           0           0           0
         17                            gst_inst_32bit     9437184     9437184     9437184
         17                            gst_inst_64bit           0           0           0
         17                           gst_inst_128bit           0           0           0
         17                     rocache_gld_inst_8bit           0           0           0
         17                    rocache_gld_inst_16bit           0           0           0
         17                    rocache_gld_inst_32bit           0           0           0
         17                    rocache_gld_inst_64bit           0           0           0
         17                   rocache_gld_inst_128bit           0           0           0
         17                           prof_trigger_00           0           0           0
         17                           prof_trigger_01           0           0           0
         17                           prof_trigger_02           0           0           0
         17                           prof_trigger_03           0           0           0
         17                           prof_trigger_04           0           0           0
         17                           prof_trigger_05           0           0           0
         17                           prof_trigger_06           0           0           0
         17                           prof_trigger_07           0           0           0
         17                            atom_cas_count           0           0           0
         17                            warps_launched       36864       36864       36864
         17                          threads_launched     1179648     1179648     1179648
         17                             inst_executed    13297152    13297152    13297152
         17                              inst_issued1    12517057    12519817    12518575
         17                              inst_issued2     2723712     2724929     2724198
         17                      thread_inst_executed   425508864   425508864   425508864
         17                               shared_load     2691072     2691072     2691072
         17                              shared_store      368640      368640      368640
         17                                local_load           0           0           0
         17                               local_store           0           0           0
         17                               gld_request      367104      367104      367104
         17                               gst_request      294912      294912      294912
         17                             active_cycles     9734062     9740902     9737726
         17                              active_warps   603305536   604628268   604100211
         17                           sm_cta_launched        9216        9216        9216
         17   not_predicated_off_thread_inst_executed   423198720   423198720   423198720
