==12356== NVPROF is profiling process 12356, command: ./1
==12356== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==12356== Profiling application: ./1
==12356== Profiling result:
==12356== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg"
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*)",17,"tex0_cache_sector_queries",0,0,0
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*)",17,"tex1_cache_sector_queries",0,0,0
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*)",17,"tex2_cache_sector_queries",0,0,0
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*)",17,"tex3_cache_sector_queries",0,0,0
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*)",17,"tex0_cache_sector_misses",0,0,0
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*)",17,"tex1_cache_sector_misses",0,0,0
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*)",17,"tex2_cache_sector_misses",0,0,0
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*)",17,"tex3_cache_sector_misses",0,0,0
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*)",17,"fb_subp0_read_sectors",836771,838005,837424
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*)",17,"fb_subp1_read_sectors",832243,833483,832920
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*)",17,"fb_subp0_write_sectors",882036,882388,882239
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*)",17,"fb_subp1_write_sectors",882263,882755,882484
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*)",17,"l2_subp0_write_sector_misses",294912,294916,294913
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*)",17,"l2_subp1_write_sector_misses",294913,294915,294913
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*)",17,"l2_subp2_write_sector_misses",294914,294919,294916
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*)",17,"l2_subp3_write_sector_misses",294914,294915,294914
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*)",17,"l2_subp0_read_sector_misses",294916,294975,294923
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*)",17,"l2_subp1_read_sector_misses",294917,294973,294929
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*)",17,"l2_subp2_read_sector_misses",294914,297068,295141
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*)",17,"l2_subp3_read_sector_misses",294913,297289,295328
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*)",17,"l2_subp0_write_l1_sector_queries",294912,294912,294912
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*)",17,"l2_subp1_write_l1_sector_queries",294912,294912,294912
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*)",17,"l2_subp2_write_l1_sector_queries",294912,294912,294912
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*)",17,"l2_subp3_write_l1_sector_queries",294912,294912,294912
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*)",17,"l2_subp0_read_l1_sector_queries",365506,365506,365506
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*)",17,"l2_subp1_read_l1_sector_queries",5379124,5379124,5379124
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*)",17,"l2_subp2_read_l1_sector_queries",365516,365516,365516
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*)",17,"l2_subp3_read_l1_sector_queries",365630,365630,365630
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*)",17,"l2_subp0_read_l1_hit_sectors",70594,70594,70594
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*)",17,"l2_subp1_read_l1_hit_sectors",5084209,5084209,5084209
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*)",17,"l2_subp2_read_l1_hit_sectors",70604,70604,70604
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*)",17,"l2_subp3_read_l1_hit_sectors",70718,70720,70718
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*)",17,"l2_subp0_read_tex_sector_queries",0,0,0
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*)",17,"l2_subp1_read_tex_sector_queries",0,0,0
