==12467== NVPROF is profiling process 12467, command: ./convolution_index
==12467== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==12467== Profiling application: ./convolution_index
==12467== Profiling result:
==12467== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg"
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*, int*, int*)",17,"tex0_cache_sector_queries",0,0,0
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*, int*, int*)",17,"tex1_cache_sector_queries",0,0,0
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*, int*, int*)",17,"tex2_cache_sector_queries",0,0,0
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*, int*, int*)",17,"tex3_cache_sector_queries",0,0,0
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*, int*, int*)",17,"tex0_cache_sector_misses",0,0,0
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*, int*, int*)",17,"tex1_cache_sector_misses",0,0,0
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*, int*, int*)",17,"tex2_cache_sector_misses",0,0,0
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*, int*, int*)",17,"tex3_cache_sector_misses",0,0,0
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*, int*, int*)",17,"fb_subp0_read_sectors",883046,886766,883828
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*, int*, int*)",17,"fb_subp1_read_sectors",883042,887026,883495
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*, int*, int*)",17,"fb_subp0_write_sectors",885613,885836,885687
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*, int*, int*)",17,"fb_subp1_write_sectors",885173,885401,885290
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*, int*, int*)",17,"l2_subp0_write_sector_misses",295884,295910,295896
"Tesla K80 (0)","convolutionRowsKernel(float*, float*, int, int, int, float*, int*, int*)",17,"l2_subp1_write_sector_misses",296122,296155,296136
