==16129== NVPROF is profiling process 16129, command: ./vd2
==16129== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==16129== Profiling application: ./vd2
==16129== Profiling result:
==16129== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg"
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"tex0_cache_sector_queries",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"tex1_cache_sector_queries",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"tex2_cache_sector_queries",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"tex3_cache_sector_queries",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"tex0_cache_sector_misses",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"tex1_cache_sector_misses",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"tex2_cache_sector_misses",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"tex3_cache_sector_misses",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"fb_subp0_read_sectors",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"fb_subp1_read_sectors",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"fb_subp0_write_sectors",80,80,80
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"fb_subp1_write_sectors",80,80,80
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"l2_subp0_write_sector_misses",32,32,32
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"l2_subp1_write_sector_misses",32,32,32
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"l2_subp2_write_sector_misses",77,77,77
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"l2_subp3_write_sector_misses",33,33,33
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"l2_subp0_read_sector_misses",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"l2_subp1_read_sector_misses",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"l2_subp2_read_sector_misses",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"l2_subp3_read_sector_misses",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"l2_subp0_write_l1_sector_queries",48,48,48
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"l2_subp1_write_l1_sector_queries",32,32,32
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"l2_subp2_write_l1_sector_queries",32,32,32
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"l2_subp3_write_l1_sector_queries",32,32,32
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"l2_subp0_read_l1_sector_queries",64,64,64
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"l2_subp1_read_l1_sector_queries",64,64,64
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"l2_subp2_read_l1_sector_queries",64,64,64
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"l2_subp3_read_l1_sector_queries",64,64,64
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"l2_subp0_read_l1_hit_sectors",64,64,64
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"l2_subp1_read_l1_hit_sectors",64,64,64
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"l2_subp2_read_l1_hit_sectors",64,64,64
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"l2_subp3_read_l1_hit_sectors",64,64,64
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"l2_subp0_read_tex_sector_queries",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"l2_subp1_read_tex_sector_queries",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"l2_subp2_read_tex_sector_queries",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"l2_subp3_read_tex_sector_queries",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"l2_subp0_read_tex_hit_sectors",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"l2_subp1_read_tex_hit_sectors",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"l2_subp2_read_tex_hit_sectors",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"l2_subp3_read_tex_hit_sectors",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"rocache_subp0_gld_thread_count_32b",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"rocache_subp1_gld_thread_count_32b",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"rocache_subp2_gld_thread_count_32b",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"rocache_subp3_gld_thread_count_32b",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"rocache_subp0_gld_thread_count_64b",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"rocache_subp1_gld_thread_count_64b",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"rocache_subp2_gld_thread_count_64b",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"rocache_subp3_gld_thread_count_64b",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"rocache_subp0_gld_thread_count_128b",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"rocache_subp1_gld_thread_count_128b",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"rocache_subp2_gld_thread_count_128b",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"rocache_subp3_gld_thread_count_128b",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"rocache_subp0_gld_warp_count_32b",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"rocache_subp1_gld_warp_count_32b",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"rocache_subp2_gld_warp_count_32b",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"rocache_subp3_gld_warp_count_32b",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"rocache_subp0_gld_warp_count_64b",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"rocache_subp1_gld_warp_count_64b",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"rocache_subp2_gld_warp_count_64b",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"rocache_subp3_gld_warp_count_64b",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"rocache_subp0_gld_warp_count_128b",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"rocache_subp1_gld_warp_count_128b",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"rocache_subp2_gld_warp_count_128b",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"rocache_subp3_gld_warp_count_128b",0,0,0
"Tesla K80 (0)","vecAdd(float*, float*, float*)",1,"l2_subp0_read_sysmem_sector_queries",0,0,0
