==16153== NVPROF is profiling process 16153, command: ./vd_constant2
==16153== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==16153== Profiling application: ./vd_constant2
==16153== Profiling result:
==16153== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg"
"Tesla K80 (0)","vecAdd(float*)",1,"tex0_cache_sector_queries",0,0,0
"Tesla K80 (0)","vecAdd(float*)",1,"tex1_cache_sector_queries",0,0,0
"Tesla K80 (0)","vecAdd(float*)",1,"tex2_cache_sector_queries",0,0,0
"Tesla K80 (0)","vecAdd(float*)",1,"tex3_cache_sector_queries",0,0,0
"Tesla K80 (0)","vecAdd(float*)",1,"tex0_cache_sector_misses",0,0,0
"Tesla K80 (0)","vecAdd(float*)",1,"tex1_cache_sector_misses",0,0,0
"Tesla K80 (0)","vecAdd(float*)",1,"tex2_cache_sector_misses",0,0,0
"Tesla K80 (0)","vecAdd(float*)",1,"tex3_cache_sector_misses",0,0,0
"Tesla K80 (0)","vecAdd(float*)",1,"fb_subp0_read_sectors",0,0,0
"Tesla K80 (0)","vecAdd(float*)",1,"fb_subp1_read_sectors",0,0,0
"Tesla K80 (0)","vecAdd(float*)",1,"fb_subp0_write_sectors",80,80,80
"Tesla K80 (0)","vecAdd(float*)",1,"fb_subp1_write_sectors",82,82,82
"Tesla K80 (0)","vecAdd(float*)",1,"l2_subp0_write_sector_misses",32,32,32
"Tesla K80 (0)","vecAdd(float*)",1,"l2_subp1_write_sector_misses",32,32,32
"Tesla K80 (0)","vecAdd(float*)",1,"l2_subp2_write_sector_misses",33,33,33
"Tesla K80 (0)","vecAdd(float*)",1,"l2_subp3_write_sector_misses",32,32,32
"Tesla K80 (0)","vecAdd(float*)",1,"l2_subp0_read_sector_misses",0,0,0
"Tesla K80 (0)","vecAdd(float*)",1,"l2_subp1_read_sector_misses",0,0,0
"Tesla K80 (0)","vecAdd(float*)",1,"l2_subp2_read_sector_misses",0,0,0
"Tesla K80 (0)","vecAdd(float*)",1,"l2_subp3_read_sector_misses",0,0,0
"Tesla K80 (0)","vecAdd(float*)",1,"l2_subp0_write_l1_sector_queries",32,32,32
"Tesla K80 (0)","vecAdd(float*)",1,"l2_subp1_write_l1_sector_queries",32,32,32
"Tesla K80 (0)","vecAdd(float*)",1,"l2_subp2_write_l1_sector_queries",32,32,32
