==15651== NVPROF is profiling process 15651, command: ./vd_tex2
==15651== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==15651== Profiling application: ./vd_tex2
==15651== Profiling result:
==15651== Event result:
Invocations                                Event Name         Min         Max         Avg
Device "Tesla K80 (0)"
	Kernel: vecAdd(float*)
          1                 tex0_cache_sector_queries         128         128         128
          1                 tex1_cache_sector_queries         128         128         128
          1                 tex2_cache_sector_queries         128         128         128
          1                 tex3_cache_sector_queries         128         128         128
          1                  tex0_cache_sector_misses          64          64          64
          1                  tex1_cache_sector_misses          64          64          64
          1                  tex2_cache_sector_misses          64          64          64
          1                  tex3_cache_sector_misses          64          64          64
          1                     fb_subp0_read_sectors           0           0           0
          1                     fb_subp1_read_sectors           0           0           0
          1                    fb_subp0_write_sectors          82          82          82
          1                    fb_subp1_write_sectors          82          82          82
          1              l2_subp0_write_sector_misses          32          32          32
          1              l2_subp1_write_sector_misses          32          32          32
          1              l2_subp2_write_sector_misses          33          33          33
          1              l2_subp3_write_sector_misses          32          32          32
          1               l2_subp0_read_sector_misses           0           0           0
          1               l2_subp1_read_sector_misses           0           0           0
          1               l2_subp2_read_sector_misses           0           0           0
          1               l2_subp3_read_sector_misses           0           0           0
          1          l2_subp0_write_l1_sector_queries          32          32          32
          1          l2_subp1_write_l1_sector_queries          32          32          32
          1          l2_subp2_write_l1_sector_queries          32          32          32
          1          l2_subp3_write_l1_sector_queries          32          32          32
          1           l2_subp0_read_l1_sector_queries           0           0           0
          1           l2_subp1_read_l1_sector_queries           0           0           0
          1           l2_subp2_read_l1_sector_queries           0           0           0
          1           l2_subp3_read_l1_sector_queries           0           0           0
          1              l2_subp0_read_l1_hit_sectors           0           0           0
          1              l2_subp1_read_l1_hit_sectors           0           0           0
          1              l2_subp2_read_l1_hit_sectors           0           0           0
          1              l2_subp3_read_l1_hit_sectors           0           0           0
          1          l2_subp0_read_tex_sector_queries          64          64          64
          1          l2_subp1_read_tex_sector_queries          64          64          64
          1          l2_subp2_read_tex_sector_queries          64          64          64
          1          l2_subp3_read_tex_sector_queries          64          64          64
          1             l2_subp0_read_tex_hit_sectors          64          64          64
          1             l2_subp1_read_tex_hit_sectors          64          64          64
          1             l2_subp2_read_tex_hit_sectors          64          64          64
          1             l2_subp3_read_tex_hit_sectors          64          64          64
          1        rocache_subp0_gld_thread_count_32b           0           0           0
          1        rocache_subp1_gld_thread_count_32b           0           0           0
          1        rocache_subp2_gld_thread_count_32b           0           0           0
          1        rocache_subp3_gld_thread_count_32b           0           0           0
          1        rocache_subp0_gld_thread_count_64b           0           0           0
          1        rocache_subp1_gld_thread_count_64b           0           0           0
          1        rocache_subp2_gld_thread_count_64b           0           0           0
          1        rocache_subp3_gld_thread_count_64b           0           0           0
          1       rocache_subp0_gld_thread_count_128b           0           0           0
          1       rocache_subp1_gld_thread_count_128b           0           0           0
          1       rocache_subp2_gld_thread_count_128b           0           0           0
          1       rocache_subp3_gld_thread_count_128b           0           0           0
          1          rocache_subp0_gld_warp_count_32b           0           0           0
          1          rocache_subp1_gld_warp_count_32b           0           0           0
          1          rocache_subp2_gld_warp_count_32b           0           0           0
          1          rocache_subp3_gld_warp_count_32b           0           0           0
          1          rocache_subp0_gld_warp_count_64b           0           0           0
          1          rocache_subp1_gld_warp_count_64b           0           0           0
          1          rocache_subp2_gld_warp_count_64b           0           0           0
          1          rocache_subp3_gld_warp_count_64b           0           0           0
          1         rocache_subp0_gld_warp_count_128b           0           0           0
          1         rocache_subp1_gld_warp_count_128b           0           0           0
          1         rocache_subp2_gld_warp_count_128b           0           0           0
          1         rocache_subp3_gld_warp_count_128b           0           0           0
          1       l2_subp0_read_sysmem_sector_queries           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0
          1       l2_subp2_read_sysmem_sector_queries           0           0           0
          1       l2_subp3_read_sysmem_sector_queries           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           1           1           1
          1      l2_subp1_write_sysmem_sector_queries           0           0           0
          1      l2_subp2_write_sysmem_sector_queries           1           1           1
          1      l2_subp3_write_sysmem_sector_queries           0           0           0
          1        l2_subp0_total_read_sector_queries          83          83          83
          1        l2_subp1_total_read_sector_queries          75          75          75
          1        l2_subp2_total_read_sector_queries          67          67          67
          1        l2_subp3_total_read_sector_queries          66          66          66
          1       l2_subp0_total_write_sector_queries          33          33          33
          1       l2_subp1_total_write_sector_queries          32          32          32
          1       l2_subp2_total_write_sector_queries          36          36          36
          1       l2_subp3_total_write_sector_queries          33          33          33
          1                         elapsed_cycles_sm       62812       62812       62812
          1                             gld_inst_8bit           0           0           0
          1                            gld_inst_16bit           0           0           0
          1                            gld_inst_32bit           0           0           0
          1                            gld_inst_64bit           0           0           0
          1                           gld_inst_128bit           0           0           0
          1                             gst_inst_8bit           0           0           0
          1                            gst_inst_16bit           0           0           0
          1                            gst_inst_32bit        1024        1024        1024
          1                            gst_inst_64bit           0           0           0
          1                           gst_inst_128bit           0           0           0
          1                     rocache_gld_inst_8bit           0           0           0
          1                    rocache_gld_inst_16bit           0           0           0
          1                    rocache_gld_inst_32bit           0           0           0
          1                    rocache_gld_inst_64bit           0           0           0
          1                   rocache_gld_inst_128bit           0           0           0
          1                           prof_trigger_00           0           0           0
          1                           prof_trigger_01           0           0           0
          1                           prof_trigger_02           0           0           0
          1                           prof_trigger_03           0           0           0
          1                           prof_trigger_04           0           0           0
          1                           prof_trigger_05           0           0           0
          1                           prof_trigger_06           0           0           0
          1                           prof_trigger_07           0           0           0
          1                            atom_cas_count           0           0           0
          1                            warps_launched          32          32          32
          1                          threads_launched        1024        1024        1024
          1                             inst_executed         416         416         416
          1                              inst_issued1         450         450         450
          1                              inst_issued2          64          64          64
          1                      thread_inst_executed       13312       13312       13312
          1                               shared_load           0           0           0
          1                              shared_store           0           0           0
          1                                local_load           0           0           0
          1                               local_store           0           0           0
          1                               gld_request           0           0           0
          1                               gst_request          32          32          32
          1                             active_cycles        1186        1186        1186
          1                              active_warps       31372       31372       31372
          1                           sm_cta_launched           1           1           1
          1   not_predicated_off_thread_inst_executed       13312       13312       13312
          1                         l1_local_load_hit           0           0           0
          1                        l1_local_load_miss           0           0           0
          1                        l1_local_store_hit           0           0           0
          1                       l1_local_store_miss           0           0           0
          1                        l1_global_load_hit           0           0           0
          1                       l1_global_load_miss           0           0           0
          1          uncached_global_load_transaction           0           0           0
          1                  global_store_transaction          32          32          32
          1                        shared_load_replay           0           0           0
          1                       shared_store_replay           0           0           0
