dimension 1 1 1 1
sizeof 4 4 4 4
array_size 64516 20808988 64512 20808988
2 0 0 0 32 37
2 0 0 0 33 70
2 0 0 0 34 92
2 0 0 0 35 98
2 0 0 0 36 108
2 0 0 0 37 229
2 0 0 0 38 280
2 0 0 0 39 318
2 0 0 0 40 333
2 0 0 0 41 355
2 0 0 0 42 357
2 0 0 0 43 413
2 0 0 0 44 565
2 0 0 0 45 566
2 0 0 0 46 657
2 0 0 0 47 753
2 0 0 0 48 808
2 0 0 0 49 936
2 0 0 0 50 952
2 0 0 0 51 1066
2 0 0 0 52 1078
2 0 0 0 53 1104
2 0 0 0 54 1216
2 0 0 0 55 1352
2 0 0 0 56 1358
2 0 0 0 57 1463
2 0 0 0 58 1543
2 0 0 0 59 1561
2 0 0 0 60 1600
2 0 0 0 61 1673
2 0 0 0 62 1683
2 0 0 0 63 1684
2 0 0 0 160 122
2 0 0 0 161 230
2 0 0 0 162 377
2 0 0 0 163 406
2 0 0 0 164 409
2 0 0 0 165 413
2 0 0 0 166 439
2 0 0 0 167 450
2 0 0 0 168 499
2 0 0 0 169 566
2 0 0 0 170 655
2 0 0 0 171 681
2 0 0 0 172 710
2 0 0 0 173 711
2 0 0 0 174 800
2 0 0 0 175 804
2 0 0 0 176 883
2 0 0 0 177 931
2 0 0 0 178 1005
2 0 0 0 179 1079
2 0 0 0 180 1154
2 0 0 0 181 1168
2 0 0 0 182 1228
2 0 0 0 183 1266
2 0 0 0 184 1291
2 0 0 0 185 1314
2 0 0 0 186 1337
2 0 0 0 187 1385
2 0 0 0 188 1395
2 0 0 0 189 1438
2 0 0 0 190 1442
2 0 0 0 191 1449
2 0 0 0 192 176
2 0 0 0 193 250
2 0 0 0 194 316
2 0 0 0 195 322
2 0 0 0 196 390
2 0 0 0 197 416
2 0 0 0 198 424
2 0 0 0 199 458
2 0 0 0 200 480
2 0 0 0 201 485
2 0 0 0 202 526
2 0 0 0 203 549
2 0 0 0 204 578
2 0 0 0 205 670
2 0 0 0 206 737
2 0 0 0 207 744
2 0 0 0 208 749
2 0 0 0 209 807
2 0 0 0 210 826
2 0 0 0 211 844
2 0 0 0 212 928
2 0 0 0 213 961
2 0 0 0 214 987
2 0 0 0 215 1014
2 0 0 0 216 1064
2 0 0 0 217 1081
2 0 0 0 218 1124
2 0 0 0 219 1185
2 0 0 0 220 1201
2 0 0 0 221 1227
2 0 0 0 222 1237
2 0 0 0 223 1300
2 0 0 0 64 25
2 0 0 0 65 338
2 0 0 0 66 497
2 0 0 0 67 521
2 0 0 0 68 668
2 0 0 0 69 680
2 0 0 0 70 686
2 0 0 0 71 688
2 0 0 0 72 696
2 0 0 0 73 743
2 0 0 0 74 761
2 0 0 0 75 779
2 0 0 0 76 801
2 0 0 0 77 824
2 0 0 0 78 828
2 0 0 0 79 945
2 0 0 0 80 973
2 0 0 0 81 1063
2 0 0 0 82 1129
2 0 0 0 83 1136
2 0 0 0 84 1214
2 0 0 0 85 1478
2 0 0 0 86 1593
2 0 0 0 87 1692
2 0 0 0 88 1829
2 0 0 0 89 1948
2 0 0 0 90 1973
2 0 0 0 91 2045
2 0 0 0 92 2047
2 0 0 0 93 2051
2 0 0 0 94 2140
2 0 0 0 95 2159
2 0 0 0 128 18
2 0 0 0 129 97
2 0 0 0 130 132
2 0 0 0 131 171
2 0 0 0 132 374
2 0 0 0 133 468
2 0 0 0 134 503
2 0 0 0 135 586
2 0 0 0 136 671
2 0 0 0 137 762
2 0 0 0 138 840
2 0 0 0 139 851
2 0 0 0 140 886
2 0 0 0 141 1129
2 0 0 0 142 1153
2 0 0 0 143 1157
2 0 0 0 144 1181
2 0 0 0 145 1236
2 0 0 0 146 1242
2 0 0 0 147 1251
2 0 0 0 148 1270
2 0 0 0 149 1296
2 0 0 0 150 1355
2 0 0 0 151 1389
2 0 0 0 152 1469
2 0 0 0 153 1470
2 0 0 0 154 1482
2 0 0 0 155 1587
2 0 0 0 156 1687
2 0 0 0 157 1722
2 0 0 0 158 1743
2 0 0 0 159 1747
2 0 0 0 96 71
2 0 0 0 97 120
2 0 0 0 98 191
2 0 0 0 99 244
2 0 0 0 100 249
2 0 0 0 101 345
2 0 0 0 102 348
2 0 0 0 103 363
2 0 0 0 104 378
2 0 0 0 105 383
2 0 0 0 106 405
2 0 0 0 107 472
2 0 0 0 108 547
2 0 0 0 109 782
2 0 0 0 110 822
2 0 0 0 111 827
2 0 0 0 112 850
2 0 0 0 113 1020
2 0 0 0 114 1123
2 0 0 0 115 1136
2 0 0 0 116 1187
2 0 0 0 117 1207
2 0 0 0 118 1208
2 0 0 0 119 1240
2 0 0 0 120 1351
2 0 0 0 121 1598
2 0 0 0 122 1634
2 0 0 0 123 1678
2 0 0 0 124 1689
2 0 0 0 125 1752
2 0 0 0 126 1756
2 0 0 0 127 1777
2 0 0 0 0 90
2 0 0 0 1 123
2 0 0 0 2 192
2 0 0 0 3 222
2 0 0 0 4 258
2 0 0 0 5 284
2 0 0 0 6 287
2 0 0 0 7 359
2 0 0 0 8 406
2 0 0 0 9 443
2 0 0 0 10 604
2 0 0 0 11 635
2 0 0 0 12 666
2 0 0 0 13 691
2 0 0 0 14 731
2 0 0 0 15 768
2 0 0 0 16 783
2 0 0 0 17 908
2 0 0 0 18 931
2 0 0 0 19 1015
2 0 0 0 20 1136
2 0 0 0 21 1215
2 0 0 0 22 1237
2 0 0 0 23 1385
2 0 0 0 24 1503
2 0 0 0 25 1505
2 0 0 0 26 1593
2 0 0 0 27 1595
2 0 0 0 28 1608
2 0 0 0 29 1676
2 0 0 0 30 1694
2 0 0 0 31 1787
2 0 0 0 224 70
2 0 0 0 225 118
2 0 0 0 226 132
2 0 0 0 227 208
2 0 0 0 228 218
2 0 0 0 229 227
2 0 0 0 230 291
2 0 0 0 231 308
2 0 0 0 232 328
2 0 0 0 233 379
2 0 0 0 234 410
2 0 0 0 235 598
2 0 0 0 236 627
2 0 0 0 237 704
2 0 0 0 238 717
2 0 0 0 239 729
2 0 0 0 240 738
2 0 0 0 241 875
2 0 0 0 242 945
2 0 0 0 243 956
2 0 0 0 244 1013
2 0 0 0 245 1090
2 0 0 0 246 1123
2 0 0 0 247 1127
2 0 0 0 248 1146
2 0 0 0 249 1157
2 0 0 0 250 1219
2 0 0 0 251 1248
2 0 0 0 252 1432
2 0 0 0 253 1546
2 0 0 0 254 1561
2 0 0 0 255 1641
2 0 0 1 192 1315
2 0 0 1 193 1317
2 0 0 1 194 1447
2 0 0 1 195 1467
2 0 0 1 196 1538
2 0 0 1 197 1666
2 0 0 1 198 1694
2 0 0 1 199 1719
2 0 0 1 200 1777
2 0 0 1 201 1785
2 0 0 1 202 1804
2 0 0 1 203 1807
2 0 0 1 204 1858
2 0 0 1 205 1879
2 0 0 1 206 1892
2 0 0 1 207 1946
2 0 0 1 208 2083
2 0 0 1 209 2102
2 0 0 1 210 2110
2 0 0 1 211 2212
2 0 0 1 212 2246
2 0 0 1 213 2273
2 0 0 1 214 2335
2 0 0 1 215 2372
2 0 0 1 216 2463
2 0 0 1 217 2612
2 0 0 1 218 2650
2 0 0 1 219 2754
2 0 0 1 220 2759
2 0 0 1 221 2870
2 0 0 1 222 2886
2 0 0 1 223 2968
2 0 0 1 64 2169
2 0 0 1 65 2260
2 0 0 1 66 2306
2 0 0 1 67 2343
2 0 0 1 68 2403
2 0 0 1 69 2492
2 0 0 1 70 2521
2 0 0 1 71 2550
2 0 0 1 72 2584
2 0 0 1 73 2619
2 0 0 1 74 2745
2 0 0 1 75 2760
2 0 0 1 76 2830
2 0 0 1 77 2983
2 0 0 1 78 3001
2 0 0 1 79 3004
2 0 0 1 80 3019
2 0 0 1 81 3082
2 0 0 1 82 3235
2 0 0 1 83 3302
2 0 0 1 84 3333
2 0 0 1 85 3371
2 0 0 1 86 3458
2 0 0 1 87 3474
2 0 0 1 88 3502
2 0 0 1 89 3568
2 0 0 1 90 3620
2 0 0 1 91 3678
2 0 0 1 92 3764
2 0 0 1 93 3809
2 0 0 1 94 3860
2 0 0 1 95 3903
2 0 0 1 32 1766
2 0 0 1 33 1779
2 0 0 1 34 1957
2 0 0 1 35 2009
2 0 0 1 36 2044
2 0 0 1 37 2061
2 0 0 1 38 2192
2 0 0 1 39 2265
2 0 0 1 40 2272
2 0 0 1 41 2325
2 0 0 1 42 2435
2 0 0 1 43 2481
2 0 0 1 44 2495
2 0 0 1 45 2603
2 0 0 1 46 2678
2 0 0 1 47 2742
2 0 0 1 48 2856
2 0 0 1 49 2865
2 0 0 1 50 2882
2 0 0 1 51 2886
2 0 0 1 52 2902
2 0 0 1 53 3043
2 0 0 1 54 3136
2 0 0 1 55 3278
2 0 0 1 56 3285
2 0 0 1 57 3301
2 0 0 1 58 3344
2 0 0 1 59 3460
2 0 0 1 60 3516
2 0 0 1 61 3540
2 0 0 1 62 3649
2 0 0 1 63 3678
2 0 0 1 160 1467
2 0 0 1 161 1495
2 0 0 1 162 1531
2 0 0 1 163 1570
2 0 0 1 164 1571
2 0 0 1 165 1646
2 0 0 1 166 1683
2 0 0 1 167 1750
2 0 0 1 168 1769
2 0 0 1 169 1841
2 0 0 1 170 1858
2 0 0 1 171 1967
2 0 0 1 172 1989
2 0 0 1 173 2123
2 0 0 1 174 2126
2 0 0 1 175 2128
2 0 0 1 176 2173
2 0 0 1 177 2291
2 0 0 1 178 2327
2 0 0 1 179 2380
2 0 0 1 180 2387
2 0 0 1 181 2406
2 0 0 1 182 2438
2 0 0 1 183 2497
2 0 0 1 184 2567
2 0 0 1 185 2655
2 0 0 1 186 2742
2 0 0 1 187 2781
2 0 0 1 188 2794
2 0 0 1 189 2854
2 0 0 1 190 2863
2 0 0 1 191 2899
2 0 0 1 96 1849
2 0 0 1 97 1856
2 0 0 1 98 1895
2 0 0 1 99 2008
2 0 0 1 100 2093
2 0 0 1 101 2104
2 0 0 1 102 2191
2 0 0 1 103 2206
2 0 0 1 104 2309
2 0 0 1 105 2375
2 0 0 1 106 2439
2 0 0 1 107 2451
2 0 0 1 108 2502
2 0 0 1 109 2547
2 0 0 1 110 2562
2 0 0 1 111 2579
2 0 0 1 112 2660
2 0 0 1 113 2706
2 0 0 1 114 2710
2 0 0 1 115 2777
2 0 0 1 116 2782
2 0 0 1 117 2790
2 0 0 1 118 2842
2 0 0 1 119 2857
2 0 0 1 120 2909
2 0 0 1 121 2937
2 0 0 1 122 3213
2 0 0 1 123 3218
2 0 0 1 124 3263
2 0 0 1 125 3282
2 0 0 1 126 3306
2 0 0 1 127 3314
2 0 0 1 224 1676
2 0 0 1 225 1754
2 0 0 1 226 1825
2 0 0 1 227 1845
2 0 0 1 228 1862
2 0 0 1 229 1864
2 0 0 1 230 1868
2 0 0 1 231 1894
2 0 0 1 232 1978
2 0 0 1 233 2058
2 0 0 1 234 2098
2 0 0 1 235 2104
2 0 0 1 236 2165
2 0 0 1 237 2221
2 0 0 1 238 2241
