==16275== NVPROF is profiling process 16275, command: ./2
==16275== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==16275== Profiling application: ./2
==16275== Profiling result:
==16275== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg"
"Tesla K80 (0)","trans_kernel(float*, float const *, int, int)",1,"tex0_cache_sector_queries",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float const *, int, int)",1,"tex1_cache_sector_queries",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float const *, int, int)",1,"tex2_cache_sector_queries",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float const *, int, int)",1,"tex3_cache_sector_queries",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float const *, int, int)",1,"tex0_cache_sector_misses",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float const *, int, int)",1,"tex1_cache_sector_misses",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float const *, int, int)",1,"tex2_cache_sector_misses",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float const *, int, int)",1,"tex3_cache_sector_misses",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float const *, int, int)",1,"fb_subp0_read_sectors",8281252,8281252,8281252
"Tesla K80 (0)","trans_kernel(float*, float const *, int, int)",1,"fb_subp1_read_sectors",8288282,8288282,8288282
"Tesla K80 (0)","trans_kernel(float*, float const *, int, int)",1,"fb_subp0_write_sectors",9660366,9660366,9660366
"Tesla K80 (0)","trans_kernel(float*, float const *, int, int)",1,"fb_subp1_write_sectors",9661019,9661019,9661019
"Tesla K80 (0)","trans_kernel(float*, float const *, int, int)",1,"l2_subp0_write_sector_misses",3535985,3535985,3535985
"Tesla K80 (0)","trans_kernel(float*, float const *, int, int)",1,"l2_subp1_write_sector_misses",3547857,3547857,3547857
"Tesla K80 (0)","trans_kernel(float*, float const *, int, int)",1,"l2_subp2_write_sector_misses",3540907,3540907,3540907
