==16373== NVPROF is profiling process 16373, command: ./surf_1D
==16373== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==16373== Profiling application: ./surf_1D
==16373== Profiling result:
==16373== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg"
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"tex0_cache_sector_queries",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"tex1_cache_sector_queries",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"tex2_cache_sector_queries",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"tex3_cache_sector_queries",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"tex0_cache_sector_misses",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"tex1_cache_sector_misses",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"tex2_cache_sector_misses",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"tex3_cache_sector_misses",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"fb_subp0_read_sectors",11858,11858,11858
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"fb_subp1_read_sectors",12128,12128,12128
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"fb_subp0_write_sectors",10974,10974,10974
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"fb_subp1_write_sectors",11363,11363,11363
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"l2_subp0_write_sector_misses",3765,3765,3765
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"l2_subp1_write_sector_misses",4057,4057,4057
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"l2_subp2_write_sector_misses",3724,3724,3724
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"l2_subp3_write_sector_misses",3662,3662,3662
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"l2_subp0_read_sector_misses",4155,4155,4155
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"l2_subp1_read_sector_misses",4194,4194,4194
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"l2_subp2_read_sector_misses",4154,4154,4154
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"l2_subp3_read_sector_misses",4132,4132,4132
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"l2_subp0_write_l1_sector_queries",8196,8196,8196
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"l2_subp1_write_l1_sector_queries",8212,8212,8212
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"l2_subp2_write_l1_sector_queries",8192,8192,8192
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"l2_subp3_write_l1_sector_queries",8192,8192,8192
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"l2_subp0_read_l1_sector_queries",2048,2048,2048
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"l2_subp1_read_l1_sector_queries",2048,2048,2048
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"l2_subp2_read_l1_sector_queries",2048,2048,2048
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"l2_subp3_read_l1_sector_queries",2048,2048,2048
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"l2_subp0_read_l1_hit_sectors",1352,1352,1352
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"l2_subp1_read_l1_hit_sectors",1364,1364,1364
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"l2_subp2_read_l1_hit_sectors",1352,1352,1352
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"l2_subp3_read_l1_hit_sectors",1368,1368,1368
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"l2_subp0_read_tex_sector_queries",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"l2_subp1_read_tex_sector_queries",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"l2_subp2_read_tex_sector_queries",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"l2_subp3_read_tex_sector_queries",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"l2_subp0_read_tex_hit_sectors",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"l2_subp1_read_tex_hit_sectors",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"l2_subp2_read_tex_hit_sectors",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"l2_subp3_read_tex_hit_sectors",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"rocache_subp0_gld_thread_count_32b",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"rocache_subp1_gld_thread_count_32b",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"rocache_subp2_gld_thread_count_32b",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"rocache_subp3_gld_thread_count_32b",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"rocache_subp0_gld_thread_count_64b",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"rocache_subp1_gld_thread_count_64b",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"rocache_subp2_gld_thread_count_64b",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"rocache_subp3_gld_thread_count_64b",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"rocache_subp0_gld_thread_count_128b",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"rocache_subp1_gld_thread_count_128b",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"rocache_subp2_gld_thread_count_128b",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"rocache_subp3_gld_thread_count_128b",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"rocache_subp0_gld_warp_count_32b",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"rocache_subp1_gld_warp_count_32b",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"rocache_subp2_gld_warp_count_32b",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"rocache_subp3_gld_warp_count_32b",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"rocache_subp0_gld_warp_count_64b",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"rocache_subp1_gld_warp_count_64b",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"rocache_subp2_gld_warp_count_64b",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"rocache_subp3_gld_warp_count_64b",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"rocache_subp0_gld_warp_count_128b",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"rocache_subp1_gld_warp_count_128b",0,0,0
"Tesla K80 (0)","trans_kernel(float*, float*, int, int)",1,"rocache_subp2_gld_warp_count_128b",0,0,0
